x1,x2,x3,x4,x5,x6,x7,x8,cl
0.535467703,0.902983669,0.151814467,0.927074923,-0.639763511,0.196491232,0.489448612,1.532751277,1
-0.951942589,-1.030994614,-0.159068401,0.557354115,-0.639763511,-0.583456962,-0.347267507,-0.198141697,0
-0.951942589,-0.90820234,-0.159068401,0.187633307,0.163680309,-0.416325208,-0.905078252,-1.109137995,0
0.237985647,-0.079354505,0.255442094,-1.229629779,-0.639763511,-0.694878135,-0.802004526,-0.289241326,0
1.72539594,-0.110052575,-3.578780016,-1.229629779,-0.639763511,0.385907227,-1.005120392,-0.380340956,0
-0.05949641,-0.263542914,1.188090718,-1.229629779,-0.639763511,0.642175919,-0.832320324,-0.289241326,0
1.72539594,0.626701055,0.566324969,-1.229629779,-0.639763511,-0.527746375,2.957154838,2.170448686,0
-0.951942589,-0.478429387,-2.024365649,1.111935324,0.069660288,1.277276594,-0.856572965,-0.015942437,0
-0.356978471,0.227626173,0.980835464,1.296795725,1.368846044,0.831591915,0.722880283,-0.562540216,0
1.130431821,-0.601221662,0.773580217,-1.229629779,-0.639763511,0.397049345,-0.235099036,1.532751277,0
-0.951942589,-0.662617796,-0.159068401,-0.305327762,0.556854949,-0.962288945,0.065027391,-1.018038365,0
2.617842114,0.810889464,0.669952596,-0.058847228,0.300436708,-1.073710118,-0.668615002,2.170448686,0
0.237985647,-0.048656441,1.188090718,-1.229629779,-0.639763511,0.252201819,-0.389709629,0.439555712,0
0.237985647,-0.294240984,0.307255905,0.372493714,-0.639763511,0.463902049,0.243890624,2.443747575,0
-0.356978471,-0.93890041,-0.573578903,-0.551808303,-0.178210679,-0.784015074,-0.601920232,-1.018038365,0
0.535467703,-0.816108135,1.188090718,-1.229629779,-0.639763511,-1.32997881,-0.841415069,-0.471440586,0
1.72539594,0.104833904,0.462697342,0.680594382,-0.639763511,-0.472035788,0.140816898,1.077253128,0
-0.05949641,-0.478429387,-0.469951276,0.803834649,1.001313233,-0.873152006,1.51715428,-0.015942437,0
2.022878001,0.596002991,0.359069721,-1.229629779,-0.639763511,0.15192277,-0.138088475,0.166256823,0
-0.356978471,1.885321842,-0.262696028,0.31087358,-0.041454281,0.241059701,-0.589793916,-0.653639846,0
0.832949765,0.442512652,0.773580217,-1.229629779,-0.639763511,0.931870963,0.698627643,0.348456082,0
0.832949765,-0.386335183,1.188090718,-0.120467361,-0.639763511,-1.017999531,-0.6989308,1.350552018,0
0.832949765,1.240662417,-0.262696028,-1.229629779,-0.639763511,-0.494320023,-0.520067574,0.621754972,0
-0.951942589,0.841587534,-0.67720653,-1.229629779,-0.639763511,-0.238051331,0.298459062,-0.380340956,0
-0.654460528,-1.460767561,0.048186847,0.434113847,-0.639763511,-0.427467326,0.365153825,-1.018038365,0
0.832949765,-0.417033253,-3.578780016,-1.229629779,-0.639763511,-3.547260114,-0.486720189,-0.835839105,0
-0.951942589,-0.478429387,0.566324969,-0.551808303,0.061113014,-1.385689397,0.077153714,-1.018038365,0
-0.951942589,-0.539825528,-0.988089398,-0.305327762,-0.332061626,-0.850867771,0.18325902,-0.653639846,0
0.237985647,-0.93890041,-0.159068401,0.064393039,-0.443176195,-0.828583536,-0.374551726,-0.289241326,0
0.832949765,0.964379803,-0.159068401,1.358415858,2.283404434,0.319054523,0.765322405,0.803954239,0
-0.951942589,-1.399371426,-0.988089398,-0.613428437,-0.639763511,-0.984573179,-0.659520257,-1.109137995,0
-1.249424646,-0.570523592,0.980835464,2.467578276,0.300436708,1.667250695,1.505027956,-0.198141697,0
-1.249424646,0.841587534,0.669952596,-1.229629779,-0.639763511,0.965297315,3.987892085,0.986153498,0
-1.249424646,-0.417033253,-0.262696028,1.296795725,0.573949497,1.076718489,-0.88688877,-1.018038365,0
-0.654460528,-1.061692678,-3.578780016,-1.229629779,-0.639763511,-3.547260114,-0.489751768,-1.109137995,0
0.237985647,-2.289615395,-0.366323655,-1.229629779,-0.639763511,-0.761730839,0.368185404,0.257356452,0
-0.654460528,0.688097196,-0.573578903,0.865454783,0.454287647,-0.71716237,0.707722381,-0.835839105,0
0.237985647,-0.601221662,0.255442094,0.434113847,-0.639763511,-0.316046152,-0.795941361,-0.107042067,0
-0.654460528,-0.294240984,1.188090718,-1.229629779,-0.639763511,1.21042389,1.150333084,1.897149796,0
-0.951942589,-0.72401393,-0.159068401,-0.428568036,-0.314967071,-1.363405162,-0.398804366,-0.744739475,0
-0.05949641,0.841587534,0.825394027,0.434113847,0.214963961,-0.327188269,-0.838383483,-0.562540216,0
0.237985647,0.626701055,-0.262696028,0.927074923,0.556854949,-0.360614622,-0.165372694,-0.653639846,0
-0.05949641,0.319720377,0.877207844,0.002772906,1.668000655,0.363622992,-0.711057124,-0.926938735,0
-0.951942589,-1.215183017,0.307255905,0.618974248,-0.639763511,0.018217361,-0.210846396,-1.018038365,0
-0.951942589,-3.640330387,-1.091717025,0.002772906,-0.639763511,-0.795157184,-0.98693091,-1.018038365,0
0.832949765,-1.737050174,0.462697342,-1.229629779,-0.639763511,0.085070066,-0.226004298,0.712854609,0
0.237985647,-0.72401393,0.151814467,0.803834649,-0.639763511,0.653318037,-0.289667482,-0.562540216,0
-0.654460528,-0.20214678,-0.159068401,0.126013173,-0.639763511,-0.761730839,-0.480657031,-0.835839105,0
-0.356978471,-0.171448709,-1.298972273,-0.428568036,-0.639763511,-1.051425884,-0.98693091,-1.018038365,0
-0.654460528,-1.368673362,-3.578780016,-1.229629779,-0.639763511,-3.547260114,-1.10213096,-1.018038365,0
0.832949765,-1.092390749,0.462697342,0.372493714,-0.032907007,-0.2826198,0.913869833,0.257356452,0
-1.249424646,-0.539825528,-0.210882218,0.495733981,-0.639763511,-0.806299301,-0.692867642,-1.018038365,0
-0.654460528,-0.263542914,0.255442094,0.557354115,0.428645825,0.062785831,0.704690801,-0.562540216,0
2.617842114,-0.386335183,0.151814467,2.097857468,-0.639763511,0.530754746,-0.871730867,1.077253128,0
-0.654460528,-0.570523592,-0.05544078,0.31087358,-0.032907007,0.742454976,-0.429120164,-0.653639846,0
-0.951942589,-0.355637118,-0.05544078,-0.058847228,-0.639763511,-0.594599079,-0.91114141,-0.835839105,0
-0.951942589,-1.184484953,-0.72902034,-1.229629779,-0.639763511,-1.419115749,-0.629204459,-1.109137995,0
-0.05949641,0.135531968,0.566324969,-0.305327762,0.864556835,0.018217361,-0.068362134,0.075157193,0
0.832949765,-1.153786883,0.462697342,1.235175591,-0.229494323,1.656108577,-0.620109714,0.803954239,0
-0.654460528,0.71879526,0.669952596,-0.120467361,-0.092737932,-0.795157184,0.895680351,-1.109137995,0
0.535467703,0.780191394,0.151814467,0.434113847,1.309015119,0.229917584,-0.638299196,0.621754972,0
-0.654460528,-0.816108135,-0.366323655,0.495733981,-0.639763511,-0.026351108,-1.017246716,-0.835839105,0
-0.951942589,-1.460767561,-1.091717025,-0.120467361,0.009829363,-1.274268223,-0.432151751,-1.018038365,0
0.535467703,-0.785410071,-0.988089398,0.618974248,-0.092737932,-0.349472504,-0.332109604,-0.926938735,0
-0.951942589,0.995077873,-0.469951276,-1.229629779,-0.639763511,-0.639167548,-0.868699288,-1.018038365,0
-1.249424646,0.196928109,1.395345966,-1.229629779,-0.639763511,-1.040283766,-0.617078135,-1.109137995,0
-0.951942589,-1.153786883,0.151814467,-0.120467361,-0.297872523,-0.583456962,-0.553414952,-0.835839105,0
-0.654460528,-1.030994614,-0.210882218,-1.229629779,-0.639763511,0.865018259,1.408017395,-0.562540216,0
-0.951942589,0.227626173,-0.67720653,0.557354115,0.659422244,-0.349472504,1.016943559,-1.109137995,0
-0.951942589,-0.693315866,2.742505085,-1.229629779,-0.639763511,-1.051425884,-0.783815044,-0.562540216,0
-0.05949641,0.780191394,-0.573578903,0.495733981,0.556854949,-0.260335565,-0.541288635,0.348456082,0
-0.356978471,-1.092390749,-0.573578903,0.680594382,-0.485912565,0.274486054,-0.392741208,-0.744739475,0
-0.951942589,-0.90820234,0.359069721,0.865454783,-0.323514345,-0.070919577,-0.829288745,-0.926938735,0
-0.05949641,-1.307277222,-0.366323655,-1.229629779,-0.639763511,0.241059701,-0.226004298,-0.744739475,0
0.237985647,-1.245881087,-1.091717025,-1.229629779,-0.639763511,0.207633349,0.571301277,-0.744739475,0
-0.05949641,-0.662617796,-0.469951276,0.187633307,-0.639763511,-0.405183091,-0.068362134,-1.018038365,0
-0.05949641,-0.601221662,0.359069721,-0.305327762,-0.203852501,-0.962288945,-0.735309764,-1.109137995,0
0.535467703,-0.232844844,-0.262696028,1.173555457,-0.639763511,0.263343936,-0.623141293,-0.835839105,0
-0.654460528,-0.355637118,0.255442094,0.618974248,0.214963961,0.196491232,-0.186593755,-0.926938735,0
0.237985647,0.411814582,0.566324969,-1.229629779,-0.639763511,-0.561172727,-0.847478227,3.263644244,0
-0.356978471,0.043437764,0.048186847,0.618974248,0.514118572,1.232708125,-0.041077907,-0.289241326,0
-0.951942589,-0.01795837,-0.573578903,0.988695056,0.163680309,0.163064887,-0.620109714,-0.926938735,0
1.130431821,-1.061692678,0.255442094,0.680594382,-0.639763511,0.720170741,-0.025920012,0.530655342,0
